px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.52975	-9.06327	-2.8552	2.08449	0.00477077	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.875801
9.56422	-9.19163	-2.81831	2.05126	-0.0417512	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	3.97322
9.60981	-9.32787	-2.81976	2.03274	-0.0590004	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.303282
9.63743	-9.45753	-2.78985	1.99796	-0.102562	9.47534	-9.42627	9.55	-9.5	0	-3.00023	2.70929
9.66184	-9.60424	-2.7937	1.96469	-0.132009	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.876162
9.72477	-9.74304	-2.81836	1.9678	-0.113453	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.44735
9.74885	-9.89096	-2.82299	1.93673	-0.13981	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.723355
9.75424	-10.0375	-2.78055	1.88078	-0.208809	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	5.66712
9.7899	-10.1799	-2.77478	1.86407	-0.214453	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.220126
9.824	-10.3184	-2.77397	1.84497	-0.226476	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.546785
9.83795	-10.4613	-2.77612	1.81615	-0.244352	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.398786
9.88136	-10.6088	-2.78666	1.81509	-0.223335	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	1.12314
9.90372	-10.7606	-2.78627	1.79311	-0.233228	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.160061
9.89954	-10.9111	-2.76041	1.74053	-0.291633	9.88465	-10.9383	9.85	-10.9	0	-2.73074	3.09024
9.90625	-11.0624	-2.75887	1.7126	-0.303793	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.291583
9.91967	-11.1994	-2.75879	1.69417	-0.306906	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0923762
9.91607	-11.3427	-2.7621	1.66476	-0.320827	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.285072
9.92598	-11.4849	-2.76811	1.64824	-0.319015	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.150568
9.91382	-11.6287	-2.77168	1.61704	-0.333975	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.376533
9.82083	-11.7633	-2.72033	1.48577	-0.507544	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	22.3022
9.79791	-11.8934	-2.71534	1.45485	-0.513381	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.244305
9.77171	-12.0265	-2.71288	1.421	-0.52453	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.14921
9.73099	-12.1621	-2.71555	1.38242	-0.536351	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.336647
9.6505	-12.2917	-2.70292	1.28844	-0.639116	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	6.34295
9.60086	-12.4132	-2.69692	1.25042	-0.645524	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.356111
9.46699	-12.5233	-2.68142	1.10787	-0.812618	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	14.5547
9.39851	-12.6316	-2.67283	1.06305	-0.817559	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.405574
9.31863	-12.7546	-2.6709	1.00933	-0.831859	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.13963
9.23644	-12.8629	-2.6582	0.961294	-0.835843	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.532345
9.05018	-12.9346	-2.66704	0.770403	-1.0671	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	27.0869
8.9337	-13.0169	-2.66745	0.70505	-1.07786	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0.662567
8.7854	-13.0913	-2.67606	0.599176	-1.14864	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	2.46064
8.66235	-13.1543	-2.66222	0.531894	-1.1552	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.628335
8.51367	-13.1977	-2.67732	0.422548	-1.23637	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	3.35978
8.38519	-13.2369	-2.67109	0.354175	-1.24345	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.375521
8.20478	-13.2467	-2.69896	0.212412	-1.35946	8.22926	-13.1698	8.2	-13.15	-2.72741	0	7.34503
8.05557	-13.2563	-2.69028	0.129031	-1.36923	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.586093
7.90194	-13.2574	-2.69203	0.0407804	-1.38738	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.669849
7.75597	-13.2446	-2.68316	-0.0421384	-1.39577	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.335488
7.66234	-13.2895	-2.61987	-0.0204625	-1.24965	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	15.2079
7.5211	-13.2788	-2.62753	-0.0870424	-1.25109	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.310095
7.37609	-13.2638	-2.62271	-0.147808	-1.23435	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.904638
7.2249	-13.2388	-2.63223	-0.215667	-1.2318	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.214194
7.0802	-13.1708	-2.66604	-0.321924	-1.29853	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.3341
6.94099	-13.1307	-2.68139	-0.382707	-1.2907	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.455772
6.80543	-13.0858	-2.67647	-0.438878	-1.26949	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.555915
6.65736	-13.0303	-2.69439	-0.49906	-1.25593	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.601392
6.536	-13.0154	-2.62319	-0.494055	-1.13963	6.40137	-13.0799	6.4	-13.05	-2.72678	0	15.0927
6.38563	-12.9674	-2.64666	-0.535529	-1.11376	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.24509
6.25487	-12.9221	-2.62497	-0.559626	-1.05848	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	2.91585
6.10064	-12.8692	-2.65314	-0.590958	-1.02654	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.74416
5.97741	-12.7536	-2.72746	-0.690121	-1.10504	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	10.642
5.83539	-12.6871	-2.75783	-0.717954	-1.07233	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.99164
5.71529	-12.6327	-2.69598	-0.720279	-0.985866	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	11.5539
5.57119	-12.5615	-2.71641	-0.743178	-0.951196	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.47579
5.44925	-12.4492	-2.75178	-0.802822	-0.966862	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.95332
5.29996	-12.3723	-2.77572	-0.815867	-0.922856	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.18605
5.18241	-12.2843	-2.75998	-0.838639	-0.886033	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.61087
5.04939	-12.1921	-2.77542	-0.858614	-0.854762	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.02602
4.94574	-12.0852	-2.791	-0.895172	-0.848508	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.816067
4.8355	-11.9955	-2.79811	-0.914207	-0.823779	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.635866
4.73791	-11.8688	-2.81356	-0.960621	-0.827953	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.408132
4.65029	-11.7414	-2.81422	-1.00458	-0.826197	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.00294752
4.58036	-11.6373	-2.74573	-1.03177	-0.796608	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	7.78831
4.51137	-11.5137	-2.73742	-1.07561	-0.797811	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.236833
4.42616	-11.3356	-2.88496	-1.1431	-0.841509	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	37.2404
4.38765	-11.1915	-2.88326	-1.20136	-0.858812	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.268326
4.38354	-11.0613	-2.78401	-1.27242	-0.88707	4.43713	-11.024	4.45	-11.05	0	1.81614	15.9854
4.36559	-10.9105	-2.77592	-1.33805	-0.906144	4.45136	-10.93	4.45	-10.95	0	1.81612	0.429893
4.35081	-10.7587	-2.76784	-1.40078	-0.921169	4.44745	-10.786	4.45	-10.8	0	2.72555	0.285709
4.35605	-10.6073	-2.75917	-1.4707	-0.943091	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.647271
4.36087	-10.4581	-2.74924	-1.53509	-0.959027	4.46329	-10.5756	4.45	-10.5	0	2.729	0.422379
4.37618	-10.3082	-2.74475	-1.59965	-0.972417	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.272972
4.41024	-10.1578	-2.73492	-1.67592	-1.00146	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.591984
4.45439	-10.01	-2.732	-1.74867	-1.02074	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.554486
4.49048	-9.86267	-2.73568	-1.80522	-1.01736	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.594867
4.55035	-9.71966	-2.73513	-1.87619	-1.03323	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.460938
4.56354	-9.56481	-2.75353	-1.8874	-0.963235	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.94383
4.63841	-9.42571	-2.75494	-1.95723	-0.980234	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.687824
4.72089	-9.28835	-2.75869	-2.02834	-0.999413	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.750478
4.81877	-9.15195	-2.76979	-2.10138	-1.01589	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.914367
4.90624	-9.0317	-2.77746	-2.16488	-1.0313	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.273166
4.99537	-8.92266	-2.77756	-2.22228	-1.0369	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.148031
5.06626	-8.79346	-2.7742	-2.2399	-0.972568	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	2.43968
5.17918	-8.6719	-2.78662	-2.30106	-0.977723	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.484037
5.28261	-8.5677	-2.79383	-2.353	-0.978526	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.265207
5.39199	-8.46602	-2.80378	-2.40498	-0.979629	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.239531
5.47948	-8.35138	-2.78992	-2.4146	-0.907482	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.79273
5.58891	-8.25085	-2.78588	-2.46053	-0.904589	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.132261
5.66757	-8.12405	-2.77061	-2.44362	-0.796952	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	5.72389
5.79399	-8.01932	-2.78416	-2.48716	-0.794475	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.36823
5.89221	-7.9008	-2.77767	-2.48327	-0.715113	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.25933
6.01981	-7.79966	-2.78971	-2.52047	-0.71142	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.291727
6.11492	-7.67987	-2.77726	-2.50257	-0.616299	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.57789
6.24077	-7.58415	-2.7839	-2.53425	-0.613433	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.098714
6.34547	-7.47285	-2.77488	-2.52385	-0.538769	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	2.88586
6.46842	-7.38305	-2.77518	-2.55119	-0.536743	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.0325027
6.58883	-7.30091	-2.78546	-2.5821	-0.547249	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.823541
6.71303	-7.21666	-2.79848	-2.60559	-0.54236	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.350177
6.78734	-7.07602	-2.76362	-2.5293	-0.365527	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	16.9029
6.90647	-6.98313	-2.76259	-2.5447	-0.361469	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.161285
7.04104	-6.90557	-2.768	-2.57647	-0.38097	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.238796
7.16821	-6.81399	-2.7737	-2.59149	-0.375171	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.213037
7.26049	-6.69023	-2.75138	-2.5355	-0.245381	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	9.08628
7.38123	-6.5979	-2.75243	-2.5446	-0.241375	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.108754
7.53517	-6.56332	-2.77549	-2.632	-0.369532	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	9.04945
7.65659	-6.49176	-2.77852	-2.64799	-0.36709	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.0400097
7.77629	-6.40723	-2.76725	-2.64539	-0.330122	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.93773
7.90376	-6.33926	-2.75887	-2.66372	-0.330979	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.154472
8.02786	-6.26136	-2.74906	-2.66292	-0.298366	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.682925
8.15913	-6.18516	-2.75074	-2.67463	-0.293916	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.106115
8.24753	-6.08005	-2.72596	-2.61968	-0.178501	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	7.89108
8.36204	-6.00189	-2.72887	-2.62215	-0.17235	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.195496
8.51517	-5.94996	-2.74786	-2.67398	-0.244877	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	3.3732
8.65124	-5.8796	-2.7506	-2.68588	-0.24323	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0174337
8.75119	-5.76714	-2.72218	-2.62447	-0.119398	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	9.36551
8.87794	-5.68488	-2.72406	-2.62558	-0.114163	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.123456
8.97289	-5.58562	-2.70741	-2.57863	-0.0263464	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	4.61335
9.08281	-5.50329	-2.70917	-2.57352	-0.0202746	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.182699
9.2287	-5.44674	-2.72605	-2.62239	-0.103716	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	5.1849
9.35664	-5.36483	-2.72875	-2.62327	-0.0991018	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.0905147
9.44788	-5.24629	-2.70007	-2.5551	0.0214192	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	8.81288
9.56891	-5.15847	-2.70133	-2.5503	0.0248678	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.05083
9.66789	-5.0521	-2.68269	-2.50176	0.105468	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	4.25092
9.78212	-4.95807	-2.68321	-2.49199	0.109201	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.0668911
9.87614	-4.84123	-2.67076	-2.43862	0.187614	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.4613
9.98379	-4.74505	-2.66786	-2.42699	0.188791	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0381669
